WARNING! mlock is not supported on this system! An mlockall(2)-like syscall to
prevent memory from being swapped to disk is not supported on this system. For
better security, only run Vault on systems where this call is supported. If
you are running Vault in a Docker container, provide the IPC_LOCK cap to the
container.
==> Vault server configuration:

Administrative Namespace: 
             Api Address: http://127.0.0.1:8200
                     Cgo: disabled
         Cluster Address: https://127.0.0.1:8201
   Environment Variables: HOME, HOMEBREW_CELLAR, HOMEBREW_PREFIX, HOMEBREW_REPOSITORY, INFOPATH, LANG, LOGNAME, OLDPWD, PATH, PWD, PYENV_ROOT, PYENV_SHELL, PYENV_VIRTUALENV_INIT, SHELL, SHLVL, SSH_AUTH_SOCK, TERM, TERM_PROGRAM, TERM_PROGRAM_VERSION, TERM_SESSION_ID, TMPDIR, USER, VAULT_ADDR, XPC_FLAGS, XPC_SERVICE_NAME, _, __CFBundleIdentifier, __CF_USER_TEXT_ENCODING
              Go Version: go1.23.6
              Listener 1: tcp (addr: "127.0.0.1:8200", cluster address: "127.0.0.1:8201", disable_request_limiter: "false", max_request_duration: "1m30s", max_request_size: "33554432", tls: "disabled")
               Log Level: 
                   Mlock: supported: false, enabled: false
           Recovery Mode: false
                 Storage: file
                 Version: Vault v1.18.5, built 2025-02-24T09:40:28Z
             Version Sha: 2cb3755273dbd63f5b0f8ec50089b57ffd3fa330

==> Vault server started! Log data will stream in below:

2026-02-20T23:18:45.157+0800 [INFO]  proxy environment: http_proxy="" https_proxy="" no_proxy=""
2026-02-20T23:18:45.158+0800 [INFO]  incrementing seal generation: generation=1
2026-02-20T23:18:45.160+0800 [INFO]  core: Initializing version history cache for core
2026-02-20T23:18:45.160+0800 [INFO]  events: Starting event system
2026-02-20T23:18:48.340+0800 [INFO]  core.cluster-listener.tcp: starting listener: listener_address=127.0.0.1:8201
2026-02-20T23:18:48.340+0800 [INFO]  core.cluster-listener: serving cluster requests: cluster_listen_address=127.0.0.1:8201
2026-02-20T23:18:48.340+0800 [INFO]  core: post-unseal setup starting
2026-02-20T23:18:48.342+0800 [INFO]  core: loaded wrapping token key
2026-02-20T23:18:48.342+0800 [INFO]  core: successfully setup plugin runtime catalog
2026-02-20T23:18:48.342+0800 [INFO]  core: successfully setup plugin catalog: plugin-directory=""
2026-02-20T23:18:48.346+0800 [INFO]  core: successfully mounted: type=system version="v1.18.5+builtin.vault" path=sys/ namespace="ID: root. Path: "
2026-02-20T23:18:48.347+0800 [INFO]  core: successfully mounted: type=identity version="v1.18.5+builtin.vault" path=identity/ namespace="ID: root. Path: "
2026-02-20T23:18:48.347+0800 [INFO]  core: successfully mounted: type=kv version="v0.20.0+builtin" path=pace42/ namespace="ID: root. Path: "
2026-02-20T23:18:48.348+0800 [INFO]  core: successfully mounted: type=transit version="v1.18.5+builtin.vault" path=transit/ namespace="ID: root. Path: "
2026-02-20T23:18:48.348+0800 [INFO]  core: successfully mounted: type=cubbyhole version="v1.18.5+builtin.vault" path=cubbyhole/ namespace="ID: root. Path: "
2026-02-20T23:18:48.350+0800 [INFO]  core: successfully mounted: type=token version="v1.18.5+builtin.vault" path=token/ namespace="ID: root. Path: "
2026-02-20T23:18:48.350+0800 [INFO]  core: successfully mounted: type=approle version="v1.18.5+builtin.vault" path=approle/ namespace="ID: root. Path: "
2026-02-20T23:18:48.351+0800 [INFO]  rollback: Starting the rollback manager with 256 workers
2026-02-20T23:18:48.351+0800 [INFO]  rollback: starting rollback manager
2026-02-20T23:18:48.351+0800 [INFO]  core: restoring leases
2026-02-20T23:18:48.352+0800 [INFO]  expiration: lease restore complete
2026-02-20T23:18:48.354+0800 [INFO]  identity: entities restored
2026-02-20T23:18:48.354+0800 [INFO]  identity: groups restored
2026-02-20T23:18:48.355+0800 [INFO]  core: usage gauge collection is disabled
2026-02-20T23:18:48.356+0800 [INFO]  core: post-unseal setup complete
2026-02-20T23:18:48.356+0800 [INFO]  core: vault is unsealed
==> Vault shutdown triggered
2026-02-20T23:19:14.228+0800 [INFO]  core: marked as sealed
2026-02-20T23:19:14.228+0800 [INFO]  core: pre-seal teardown starting
2026-02-20T23:19:14.228+0800 [INFO]  rollback: stopping rollback manager
2026-02-20T23:19:14.228+0800 [INFO]  core: pre-seal teardown complete
2026-02-20T23:19:14.228+0800 [INFO]  core: stopping cluster listeners
2026-02-20T23:19:14.228+0800 [INFO]  core.cluster-listener: forwarding rpc listeners stopped
2026-02-20T23:19:14.384+0800 [INFO]  core.cluster-listener: rpc listeners successfully shut down
2026-02-20T23:19:14.384+0800 [INFO]  core: cluster listeners successfully shut down
2026-02-20T23:19:14.384+0800 [INFO]  core: vault is sealed
